a	b
aim	sự nhắm (bắn), mục tiêu, ý định; nhắm, tập trung, hướng vào
air	không khí, bầu không khí, không gian
aircraft	máy bay, khí cầu
airport	sân bay, phi trường
alarm	báo động, báo nguy
alarmed	báo động
alarming	làm lo sợ, làm hốt hoảng, làm sợ hãi
alcohol	rượu cồn
alcoholic	rượu; người nghiện rượu
alive	sống, vẫn còn sống, còn tồn tại
all	tất cả
all right	 tốt, ổn, khỏe mạnh; được
allied	liên minh, đồng minh, thông gia
allow	cho phép, để cho
ally	nước đồng minh, liên minh; liên kết, kết thông gia
almost	hầu như, gần như
alone	cô đơn, một mình
along	dọc theo, theo; theo chiều dài, suốt theo
alongside	sát cạnh, kế bên, dọc theo
aloud	lớn tiếng, to tiếng
alphabet	bảng chữ cái, bước đầu, điều cơ bản
alphabetical	thuộc bảng chứ cái
alphabetically	theo thứ tự abc
already	đã, rồi, đã… rồi
also	cũng, cũng vậy, cũng thế
alter	thay đổi, biến đổi, sửa đổi
alternative	sự lựa chọn; lựa chọn
alternatively	như một sự lựa chọn
although	mặc dù, dẫu cho
altogether	hoàn toàn, hầu như; nói chung
always	luôn luôn
amaze	làm ngạc nhiên, làm sửng sốt
amazed	kinh ngạc, sửng sốt
amazing	kinh ngạc, sửng sốt
ambition	hoài bão, khát vọng
ambulance	xe cứu thương, xe cấp cứu
among, amongst	giữa, ở giữa
amount	số lượng, số nhiều; lên tới (money)
amuse	làm cho vui, thích, làm buồn cười
amused	vui thích
amusing	vui thích
analyse, analyze	phân tích
analysis	sự phân tích
ancient	xưa, cổ
and	và
anger	sự tức giận, sự giận dữ
angle	góc
angrily	tức giận, giận dữ
angry	giận, tức giận
animal	động vật, thú vật
ankle	mắt cá chân
anniversary	ngày, lễ kỉ niệm
announce	báo, thông báo
annoy	chọc tức, làm bực mình; làm phiền, quẫy nhiễu
annoyed	bị khó chịu, bực mình, bị quấy rầy
annoying	chọc tức, làm bực mình; làm phiền, quấy nhiễu
annual	hàng năm, từng năm
annually	hàng năm, từng năm
another	khác
answer	sự trả lời; trả lời
anti	chống lại
anticipate	thấy trước, chặn trước, lường trước
anxiety	mối lo âu, sự lo lắng
anxious	lo âu, lo lắng, băn khoăn
anxiously	lo âu, lo lắng, băn khoăn
any	một người, vật nào đó; bất cứ; một chút nào, tí nào
anyone (anybod)	người nào, bất cứ ai
anything	việc gì, vật gì; bất cứ việc gì, vật gì
anyway	thế nào cũng được, dù sấo chăng nữa
anywhere	bất cứ chỗ nào, bất cứ nơi đâu
apart	về một bên, qua một bên
apart from	ngoài… ra
apart from, aside from	ngoài ra
apartment	căn phòng, căn buồng
apologize	xin lỗi, tạ lỗi
apparent	rõ ràng, rành mạch; bề ngoài, có vẻ
apparently	nhìn bên ngoài, hình như
appeal	sự kêu gọi, lời kêu gọi; kêu gọi, cầu khẩn
appear	xuất hiện, hiện ra, trình diện
appearance	sự xuất hiện, sự trình diện
apple	quả táo
application	sự gắn vào, vật gắn vào; sự chuyên cần, chuyên tâm
apply	gắn vào, ghép vào, áp dụng vào
appoint	bổ nhiệm, chỉ định, chọn
appointment	sự bổ nhiệm, người được bổ nhiệm
appreciate	thấy rõ; nhận thức
approach	đến gần, lại gần; sự đến gần, sự lại gần
appropriate (to, for)	thíchhợp,thíchđáng
approval	sự tán thành, đồng ý, sự chấp thuận
approve	tán thành, đồng ý, chấp thuận
approving	tán thành, đồng ý, chấp thuận
approximate	giống với, giống hệt với
approximately	khoảng chừng, độ chừng
april (abbr apr)	tháng tư
area	diện tích, bề mặt
argue	chứng tỏ, chỉ rõ
argument	lý lẽ
arise	xuất hiện, nảy ra, nảy sinh ra
arm	cánh tay; vũ trang, trang bị (vũ khí)
armed	vũ trang
arms	vũ khí, binh giới, binh khí
army	quân đội
around	xung quanh, vòng quanh
arrange	sắp xếp, sắp đặt, sửa soạn
arrangement	sự sắp xếp, sắp đặt, sự sửa soạn
arrest	bắt giữ, sự bắt giữ
arrival	sự đến, sự tới nơi
arrive (at, in)	đến, tới nơi
arrow	tên, mũi tên
art	nghệ thuật, mỹ thuật
article	bài báo, đề mục
artificial	nhân tạo
artificially	nhân tạo
artist	nghệ sĩ
artistic	thuộc nghệ thuật, thuộc mỹ thuật
as	như (as you know…)
as well	cũng, cũng như
ashamed	ngượng, xấu hổ
aside	vềmộtbên,sangmộtbên.asidefrom:ngoàira,trưra
ask	hỏi
asleep	ngủ, đang ngủ. fall asleep ngủ thiếp đi
aspect	vẻ bề ngoài, diện mạo
assist	giúp, giúp đỡ; tham dự, có mặt
assistance	sự giúp đỡ
assistant	người giúpđỡ,ngườiphụtá; giúp đỡ
associate	kết giao, liên kết, kết hợp, cho cộng tác. associated with liên kết với
association	sự kết hợp, sự liên kết
assume	mang, khoác, có, lấy (cái vẻ, tính chất…)
assure	đảm bảo, cấm đoán
atmosphere	khí quyển
atom	nguyên tử
attach	gắn, dán, trói, buộc
attached	gắn bó
attack	sự tấn công, sự công kích; tấn công, công kích
attempt	sự cố gắng, sự thử; cố gắng, thử
attempted	cố gắng, thử
attend	dự, có mặt
attention	sự chú ý
attitude	thái độ, quan điểm
attorney	người được ủy quyền
attract	hút; thu hút, hấp dẫn
attraction	sự hút, sức hút
attractive	hút, thu hút, có duyên, lôi cuốn
audience	thính, khan giả
august (abbr aug)	tháng tám
aunt	cô, dì
author	tác giả
authority	uy quyền, quyền lực
automatic	tự động
automatically	một cách tự động
autumn	mùa thu (us: mùa thu là fall)
available	có thể dùng được, có giá trị, hiệu lực
average	trungbình,sốtrungbình,mứctrungbình
avoid	tránh, tránh xa
awake	đánh thức, làm thức dậy
award	phầnthưởng; tặng,thưởng
aware	biết, nhận thức, nhận thức thấy
away	xa, xa cách, rời xa, đi xa
awful	oai nghiêm, dễ sợ
awfully	tàn khốc, khủng khiếp
awkward	vụng về, lung túng
awkwardly	vụng về, lung túng
back	lưng, sau, về phía sau, trở lại
background	phía sau; nền
backward	về phía sau, lùi lại
backwards	ngược
bacteria	vi khuẩn
bad	xấu, tồi. go bad bẩn thỉu, thối, hỏng
badly	xấu, tồi
bag	bao, túi, cặp xách
baggage	hành lý
bake	nung, nướng bằng lò
balance	cái cân; làm cho cân bằng, tương xứng
ball	quả bóng
ban	cấm, cấm chỉ; sự cấm
band	băng, đai, nẹp
bandage	dải băng; băng bó
bank	bờ (sông…) , đê
bar	quán bán rượu
bargain	sự mặc cả, sự giao kèo mua bán
barrier	đặt chướng ngại vật
base	cơsở,cơbản,nềnmóng;đặttên,đặt cơ sởtrêncáigì.based on dựatrên
basic	cơ bản, cơ sở
basically	cơ bản, về cơ bản
basis	nền tảng, cơ sở
bath	sự tắm
bathroom	buồng tắm, nhà vệ sinh
battery	pin, ắc quy
battle	trận đánh, chiến thuật
bay	gian(nhà),nhịp(cầu),chuồng(ngựa); bays:vòngnguyệtquế, vịnh
be sick	bị ốm
beach	bãi biển
beak	mỏ chim
bear	mang, cầm, vác, đeo, ôm
beard	râu
beat	tiếngđập, sự đập;đánhđập,đấm
beautiful	đẹp
beautifully	tốt đẹp, đáng hài lòng
beauty	vẻ đẹp, cái đẹp; người đẹp
because	bởi vì, vì. because of prep. vì, do bởi
become	trở thành, trở nên
bed	cái giường
bedroom	phòng ngủ
beef	thịt bò
beer	rượu bia
before	trước, đằng trước
begin	bắt đầu, khởi đầu
beginning	phần đầu, lúc bắt đầu, lúc khởi đầu
behalf	sự thay mặt. on behalf of sb thay mặt cho ai, nhân danh ai
behalf, on sb’s behalf	nhân danh cá nhân ai
behave	đối xử, ăn ở, cư xử
behaviour, behavior	thái độ, cách đối xử; cách cư xử, cách ăn ở; tư cách đạo đức
behind	sau, ở đằng sau
belief	lòng tin, đức tin, sự tin tưởng
believe	tin, tin tưởng
bell	cái chuông, tiếng chuông
belong	thuộc về, của, thuộc quyền sở hữu
below	ở dưới, dưới thấp, phía dưới
belt	dây lưng, thắt lưng
bend	chỗ rẽ, chỗ uốn; khuỷu tay; cúi xuống, uốn cong
beneath	ở dưới, dưới thấp
benefit	lợi, lợi ích; giúp ích, làm lợi cho
bent	khiếu, sở thích, khuynh hướng
beside	bên cạnh, so với
bet	đánh cuộc, cá cược; sự đánh cuộc
better, best	tốt hơn, tốt nhất
betting	sự đánh cuộc
between	giữa, ở giữa
beyond	ở xa, phía bên kia
bicycle (bike)	xe đạp
bid	đặt giá, trả giá; sự đặt giá, sự trả giá
big	to, lớn
bill	hóa đơn, giấy bạc
bin	thùng, thùng đựng rượu
biology	sinh vật học
bird	chim
birth	sự ra đời, sự sinh đẻ
birthday	ngày sinh, sinh nhật
biscuit	bánh quy
bit	miếng, mảnh. a bit một chút, một
bite	cắn,ngoạm;sựcắn,sựngoạm
bitter	đắng; đắng cay, chua xót
bitterly	đắng, đắng cay, chua xót
black	đen; mà
blade	lưỡi (dao, kiếm); lá (cỏ, cây); mái (chèo); cánh (chong chóng)
blame	khiển trách, mắng trách; sự khiển trách, sự mắng trách
blank	trống, để trắng; sự trống rỗng
blankly	ngây ra, không có thần
blind	đui, mù
block	khối, tảng (đá); làm ngăn cản, ngăn chặn
blonde (blond)	hoe vàng, mái tóc hoe vàng
blood	máu, huyết; sự tàn sát, chem giết
blow	nở hoa; sự nở hoa
blue	xanh, màu xanh
board	tấmván;látván,lótván.on boardtrêntàuthủy
boat	tàu, thuyền
body	thân thể, thân xác
boil	sôi, luộc
bomb	quảbom;oánhbom,thảbom
bone	xương
book	sách; ghi chép
boot	giày ống
border	bờ, mép, vỉa, lề (đường)
bore	buồn chán, buồn tẻ
bored	buồn chán
boring	buồn chán
born ( be born)	sinh, đẻ
borrow	vay, mượn
boss	ông chủ, thủ trưởng
both	cả hai
bother	làmphiền,quấyrầy,làmbựcmình
bottle	chai, lọ
bottom	phần dưới cùng, thấp nhất; cuối, cuối cùng
bowl	cái bát
box	hộp, thùng
boy	con trai, thiếu niên
brain	óc não; đầu óc, trí não
branch	ngành; nhành cây, nhánh song, ngả đường
brand	nhãn (hàng hóa)
brave	gan dạ, can đảm
bread	bánh mỳ
break	bẻgẫy,đậpvỡ;sựgãy,sựvỡ
breakfast	bữa điểm tâm, bữa sáng
breast	ngực, vú
breath	hơi thở, hơi
breathe	hít, thở
breathing	sự hô hấp, sự thở
breed	nuôi dưỡng, chăm sóc, giáo dục; sinh đẻ; nòi giống
brick	gạch
bridge	cái cầu
brief	ngắn, gọn, vắn tắt
briefly	ngắn, gọn, vắn tắt, tóm tắt
bright	sáng, sáng chói
brightly	sáng chói, tươi
brilliant	tỏa sáng, rực rỡ, chói lọi
bring	mang, cầm , xách lại
broad	rộng
broadcast	tung ra khắp nơi,truyền rộng rãi; phát thanh, quảng bá
broadly	rộng, rộng rãi
broken	bị gãy, bị vỡ
brother	anh, em trai
brown	nâu, màu nâu
brush	bàn chải; chải, quét
bubble	bong bóng, bọt, tăm
budget	ngân sách
build	xây dựng
building	sựxâydựng,côngtrìnhxâydựngtòanhà
bullet	đạn (súng trường, súng lục)
bunch	búi, chùm, bó, cụm, buồng; bầy, đàn
burn	đốt, đốt cháy, thắp, nung, thiêu
burnt	bị đốt, bị cháy, khê; rám nắng, sạm (da)
burst	nổ, nổ tung (bom, đạn); nổ, vỡ (bong bóng); háo hức
bury	chôn cất, mai táng
bus	xe buýt
bush	bụi cây, bụi rậm
business	việc buôn bán, thương mại, kinh doanh
businessman, businesswoman	 thương nhân
busy	bận, bận rộn
but	nhưng
butter	bơ
button	cái nút, cái khuy, cúc
buy	mua
buyer	người mua
by	bởi, bằng
bye	tạm biệt
cabinet	tủ có nhiều ngăn đựng đồ
cable	dây cáp
cake	bánh ngọt
calculate	tính toán
calculation	sự tính toán
call	gọi;tiếngkêu,tiếnggọi. becalled:đượcgọi, bịgọi
calm	yên lặng, làm dịu đi; sự yên lặng, sự êm ả
calmly	yên lặng, êm ả; bình tĩnh, điềm tĩnh
camera	máy ảnh
camp	trại, chỗ cắm trại; cắm trại, hạ trại
campaign	chiến dịch, cuộc vận động
camping	sự cắm trại
can	có thể; nhà tù, nhà giam, bình, ca đựng. cannot không thể
cancel	hủy bỏ, xóa bỏ
cancer	bệnh ung thư
candidate	người ứng cử, thí sinh, người dự thi
candy	kẹo
cap	mũ lưỡi trai, mũ vải
capable	có tài, có năng lực; có khả năng, cả gan
capacity	năng lực, khả năng tiếp thu, năng suất
capital	thủ đô, tiền vốn; chủ yếu, chính yếu, cơ bản
captain	người cầm đầu, người chỉ huy, th lĩnh
capture	bắt giữ, bắt; sự bắt giữ, sự bị bắt
car	xe ô tô
card	thẻ, thiếp
cardboard	bìa cứng, các tông
care	sự chăm sóc, chăm nom; chăm sóc
career	nghề nghiệp, sự nghiệp
careful	cẩn thận, cẩn trọng, biết giữ gìn
carefully	cẩn thận, chu đáo
careless	sơ suất, cầu thả
carelessly	cẩu thả, bất cẩn
carpet	tấm thảm, thảm (cỏ)
carrot	củ cà rốt
carry	mang, vác, khuân chở
case	vỏ, ngăn, túi,trường hợp, cảnh ngộ, hoàn cảnh, tình thế
cash	tiền, tiền mặt
cast	quăng, ném, thả, đánh gục; sự quăng, sự ném (lưới), sự thả (neo)
castle	thành trì, thành quách
cat	con mèo
catch	bắtlấy,nắmlấy,tómlấy,chộplấy
category	hạng, loại; phạm trù
cause	nguyên nhân, nguyên do; gây ra, gây nên
cd	đĩa cd
cease	dừng, ngưng, ngớt, thôi, hết, tạnh
ceiling	trần nhà
celebrate	kỷ niệm, làm lễ kỷ niệm; tán dương, ca tụng
celebration	sự kỷ niệm, lễ kỷ niệm; sự tán dương, sự ca tụng
cell	ô, ngăn
cellphone, cellular phone	điện thoại di động
cent	đồng xu (bằng 1/100 đô la)
centimetre	xen ti mét
centimetre, centimeter	xen ti met
central	trung tâm, ở giữa, trung ương
centre	điểm giữa, trung tâm, trung ương
century	thế kỷ
ceremony	nghi thức, nghi lễ
certain	chắc chắn
certainly	chắc chắn, nhất định
certificate	giấy chứng nhận, bằng, chứng ch
chain	dây, xích; xính lại, trói lại
chair	ghế
chairman, chairwoman	 chủ tịch, chủ tọa
challenge	sự thử thách, sự thách thức; thác thức, thử thách
chamber	buồng, phòng, buồng ngủ
chance	sự mayrủi,sựtìnhcờ,ngẫunhiên
change	thấy đổi, sự thấy đổi, sự biến đổi
channel	kênh (tv, radio), eo biển
chapter	chương (sách)
character	tính cách, đặc tính, nhân vật
characteristic	riêng, riêng biệt, đặc trưng, đặc tính, đặc điểm
charge	nhiệmvụ,bổnphận,tráchnhiệm;giaonhiệmvụ,giao việc.inchargofphụ trách
charity	lòng tư thiện, lòng nhân đức; sự bố thí
chart	đồ thị, biểu đồ; vẽ đồ thị, lập biểu đồ
chase	săn bắt; sự săn bắt
chat	nói chuyện, tán gẫu; chuyện phiếm, chuyện gẫu
cheap	rẻ
cheaply	rẻ, rẻ tiền
cheat	lưa, lưa đảo; trò lưa đảo, trò gian lận
check	kiểm tra; sự kiểm tra
cheek	má
cheerful	vui mưng, phấn khởi, hồ hởi
cheerfully	vui vẻ, phấn khởi
cheese	pho mát
chemical	thuộc hóa học; chất hóa học, hóa chất
chemist	nhà hóa học
chemistry	hóahọc,mônhóahọc,ngànhhóa học
chemist’s	nhà hóa học
cheque	séc
chest	tủ, rương, hòm
chew	nhai, ngẫm nghĩ
chicken	gà, gà con, thịt gà
chief	trọngyếu,chínhyếu;thủlĩnh,lãnhtụ,ngườiđứng đầu,xếp
child	đứa bé, đứa trẻ
chin	cằm
chip	vỏ bào, mảnh vỡ, chỗ sứt, mẻ
chocolate	sô cô la
choice	sự lựa chọn
choose	chọn, lựa chọn
chop	chặt, đốn, chẻ
church	nhà thờ
cigarette	điếu thuốc lá
cinema	rạp xi nê, rạp chiếu bóng
circle	đường tròn, hình tròn
circumstance	hoàn cảnh, trường hợp, tình huống
citizen	ngườithànhthị
city	thành phố
civil	(thuộc) công dân
claim	đòi hỏi, yêu sách; sự đòi hỏi, sự yêu sách, sự thỉnh cầu
clap	vỗ, vỗ tay; tiếng nổ, tiếng vỗ tay
class	lớp học
classic	cổ điển, kinh điển
classroom	lớp học, phòng học
clean	sạch, sạch sẽ;
clear	lau chùi, quét dọn
clearly	rõ ràng, sáng sủa
clerk	thư ký, linh mục, mục sư
clever	lanh lợi, thông minh. tài giỏi, khéo léo
click	làmthànhtiếng lách cách; tiếngláchcách,cúnhắp(chuột)
client	khách hàng
climate	khí hậu, thời tiết
climb	leo, trèo
climbing	sự leo trèo
clock	đồng hồ
close	đóng kín, chật chội, che đậy
closed	bảo thủ, không cởi mở, khép kín
closely	chặt chẽ, kỹ lưỡng, tỉ mỉ
closet	buồng, phòng để đồ, phòng kho
cloth	vải, khăn trải bàn, áo thầy tu
clothes	quần áo
clothing	quần áo, y phục
cloud	mây, đám mây
club	câu lạc bộ; gậy, dùi cui
coach	huấn luyện viên
coal	than đá
coast	sự lao dốc; bờ biển
coat	áo choàng
code	mật mã, luật, điều lệ
coffee	cà phê
coin	tiền kim loại
cold	lạnh, sự lạnh lẽo, lạnh nhạt
coldly	lạnh nhạt, hờ hững, vô tâm
collapse	đổ, sụp đổ; sự đổ nát, sự sụp đổ
colleague	bạn đồng nghiệp
collect	sưu tập, tậptrunglại
collection	sự sưu tập, sự tụ họp
college	trường cấo đẳng, trường đại học
color, colour	màu sắc; tô màu
coloured	mang màu sắc, có màu sắc
column	cột , mục (báo)
combination	sự kết hợp, sự phối hợp
combine	kết hợp, phối hợp
come	đến, tới, đi đến, đi tới
comedy	hài kịch
comfort	sự an ủi, khuyên giải, lời động viên, sự an nhàn; dỗ dành, an ủi
comfortable	thoải mái, tiện nghi, đầy đủ
comfortably	dễ chịu, thoải mái, tiện nghi, ấm cúng
command	ra lệnh, chỉ huy; lệnh, mệnh lệnh, quyền ra lệnh, quyền chỉ huy
comment	lờibìnhluận,lờichúgiải;bìnhluận,phêbình,chúthích,dẫngiải
commercial	buôn bán, thương mại
commission	hộiđồng,ủyban,sựủynhiệm,sựủythác;ủynhiệm,ủythác
commit	giao, gửi, ủy nhiệm, ủy thác; tống giam, bỏ tù
commitment	sự phạm tội, sự tận tụy, tận tâm
committee	ủy ban
common	công, công cộng, thông thường, phổ biến. in common sự chung, của chung
commonly	thông thường, bình thường
communicate	truyền, truyền đạt; giao thiệp, liên lạc
communication	sự giao tiếp, liên lạc, sự truyền đạt, truyền tin
community	dân chúng, nhân dân
company	công ty
compare	so sánh, đối chiếu
comparison	sự so sánh
compete	đua tranh, ganh đua, cạnh tranh
competition	sự cạnh tranh, cuộc thi, cuộc thi đau
competitive	cạnh tranh, đua tranh
complain	phàn nàn, kêu ca
complaint	lời than phiền, than thở; sự khiếu nại, đơn kiện
complete	hoàn thành, xong;
completely	hoàn thành, đầy đủ, trọn vẹn
complex	phức tạp, rắc rối
complicate	làm phức tạp, rắc rối
complicated	phức tạp, rắc rối
computer	máy tính
concentrate	tập trung
concentration	sự tập trung, nơi tập trung
concept	khái niệm
concern	liên quan, dính líu tới; sự liên quan, sự dính líu tới
concerned	có liên quan, có dính líu
concerning	có liên quan, dính líu tới
concert	buổi hòa nhạc
conclude	kếtluận,kếtthúc,chấmdứt(côngviệc)
conclusion	sự kết thúc, sự kết luận, phần kết luận
concrete	bằng bê tông; bê tông
condition	điều kiện, tình cảnh, tình thế
conduct	điều khiển, chỉ đạo, chỉ huy; sự điều khiển, chỉ huy
conference	hội nghị, sự bàn bạc
confidence	lòng tin tưởng, sự tin cậy
confident	tin tưởng, tin cậy, tự tin
confidently	tự tin
confine	giam giữ, hạn chế
confined	hạn chế, giới hạn
confirm	xác nhận, chứng thực
conflict	xung đột, va chạm; sự xung đột, sự va chạm
confront	đối mặt, đối diện, đối chiếu
confuse	làm lộn xộn, xáo trộn
confused	bối rối, lúng túng, ngượng
confusing	khó hiểu, gây bối rối
confusion	sự lộn xộn, sự rối loạn
congratulations	sự chúc mưng, khen ngợi; lời chúc mưng, khen ngợi (s)
congress	đại hội, hội nghị, quốc hội
connect	kết nối, nối
connection	sự kết nối, sự giao kết
conscious	tỉnh táo, có ý thức, biết rõ
consequence	kết quả, hậu quả
conservative	thận trọng, dè dặt, bảo thủ
consider	cân nhắc, xem xét; để ý, quan tâm, lưu ý đến
considerable	lớn lao, to tát, đáng kể
considerably	đáng kể, lớn lao, nhiều
consideration	sự cân nhắc, sự xem xét, sự để ý sự quan tâm
consist of	gồm có
constant	kiên trì, bền lòng
constantly	kiên định
construct	xây dựng
construction	sự xây dựng
consult	tracứu,thamkhảo,thămdò,hỏiý kiến
consumer	người tiêu dùng
contact	sự liên lạc, sự giao thiệp; tiếp xúc
contain	bao hàm, chứa đựng, bao gồm
container	cái đựng, chứa; công te nơ
contemporary	đương thời, đương đại
content	nội dung, sự hài lòng
contest	cuộc thi,trận đấu,cuộctranh luậncuộcchiếnđấu,chiếntranh
context	văn cảnh, khung cảnh, phạm vi
continent	lục địa, đại lục (lục địa bắc mỹ)
continue	tiếp tục, làm tiếp
continuous	liên tục, liên tiếp
continuously	liên tục, liên tiếp
contract	hợp đồng,sự kýhợp đồng;kýkết
contrast	sự tương phản; làm tương phản, làm trái ngược
contrasting	tương phản
contribute	đóng góp, ghóp phần
contribution	sự đóng góp, sự góp phần
control	sự điềukhiển,quyềnhành,quyềnlực,quyềnchỉhuy
controlled	được điều khiển, được kiểm tra
convenient	tiện lợi, thuận lợi, thích hợp
convention	hội nghị, hiệp định, quy ước
conventional	quy ước
conversation	cuộc đàm thoại, cuộc trò chuyện
convert	đổi, biến đổi
convince	làm cho tin, thuyết phục; làm cho nhận thức thấy
cook	nấu ăn, người nấu ăn
cooker	lò, bếp, nồi nấu
cookie	bánh quy
cooking	sự nấu ăn, cách nấu ăn
cool	mát mẻ, điềm tĩnh; làm mát,
cope (+ with)	đối phó, đương đầu
copy	bản sao, bản chép lại; sự sao chép; sao chép, bắt chước
core	nòng cốt, hạt nhân; đáy lòng
corner	góc(tường,nhà,phố...)
correct	đúng, chính xác; sửa, sửa chữa
correctly	đúng, chính xác
cost	giá, chi phí; trả giá, phải trả
cottage	nhà tranh
cotton	bông, chỉ, sợi
cough	ho,sựho,tiếnghoa
coughing	ho
could	có thể
council	hội đồng
count	đếm, tính
counter	quầy hàng, quầy thu tiền, máy đếm
country	nước, quốc gia, đất nước
countryside	miền quê, miền nông thôn
county	hạt, tỉnh
couple	đôi, cặp; đôi vợ chồng, cặp nam nữ. a couple một cặp, một đôi
courage	sự can đảm, sự dũng cảm, dũng khí
course	tiến trình, quá trình diễn tiến; sân chạy đua. of course dĩ nhiên, loạt; khoá; đợt; lớp
court	sân, sân (tennis...), tòa án, quan tòa, phiên tòa
cousin	anh em họ
cover	bao bọc, che phủ; vỏ, vỏ bọc
covered	có mái che, kín đáo
covering	sự bao bọc, sự che phủ, cái bao, bọc
cow	con bò cái
crack	cừ,xuấtsắc;làmnứt,làm vỡ,nứtnẻ,rạnnứt
cracked	rạn, nứt
craft	nghề, nghề thủ công
crash	vải thô;sự rơi(máybấy),sựphásản,sụpđổ;phátantành,phávụ
crazy	điên, mất trí
cream	kem
create	sáng tạo, tạo nên
creature	sinh vật, loài vật
credit	sựtin,lòngtin,danh tiếng;tiền gửngânhàng
credit card	thẻ tín dụng
crime	tội, tội ác, tội phạm
criminal	có tội, phạm tội; kẻ phạm tội, tội phạm
crisis	sự khủng hoảng, cơn khủng hoảng
crisp	giòn
criterion	tiêu chuẩn
critical	phê bình, phê phán; khó tính
criticism	sựphêbình,sựphêphán,lờiphêbình,lờiphêphán
criticize	phê bình, phê phán, chỉ trích
crop	vụ mùa
cross	câythánhgiá,nỗithốngkhổ;sựbăng qua; băng qua,vượtqua
crowd	đám đông
crowded	đông đúc
crown	vương miện, vua, ngai vàng; đỉnh cao nhất
crucial	quyết định, cốt yếu, chủ yếu
cruel	độc ác, dữ tợn, tàn nhẫn
crush	ép, vắt, đè nát, đè bẹp
cry	khóc, kêu la; sự khóc, tiếng khóc, sự kêu la
cultural	(thuộc) văn hóa
culture	văn hóa, sự mở mang, sự giáo dục
cup	tách, chén
cupboard	1 loại tủ có ngăn
curb	kiềm chế, nén lại, hạn chế
cure	chữa trị, điều trị; cách chữa bệnh, cách điều trị; thuốc
curious	ham muốn, tò mò, lạ lùng
curiously	tò mò, hiếu kỳ, lạ kỳ
curl	quăn, xoắn, uốn quăn, làm xoắn; sự uốn quăn
curly	quăn, xoắn
current	hiện hành, phổ biến, hiện nấy; dòng (nước), luống (gió)
currently	hiện thời, hiện nay
curtain	màn (cửa, rạp hát, khói, sương)
curve	đường cong, đường vòng; cong, uốn cong, bẻ cong
curved	cong
custom	phong tục, tục lệ, thói quen, tập quán
customer	khách hàng
customs	thuế nhập khẩu, hải quan
